Firma Adı;Konum;Resim Yolu;Telefon;E-Posta;Hakkımızda;Kuruluş Yılı;Ücret Aralığı;Kapalı Alan;Açık Alan;Özellikler
Çocuklarla Mimarlık Atölyesi;Başakşehir / İstanbul;kurum_galeri/çocuklarlamimarlıkatölyesi_1770962054.jpg;+905458813434;iletisim@oyungruplari.com;"Tasarım süreçlerini ve mekansal farkındalığı, çocukların bedensel deneyimlerine hitap eden atölye kurgularıyla aktarıyor ve mimarların disiplinli bakış açısını, çocukların dünyasıyla kurduğum güçlü empati bağıyla harmanlıyorum. Amacım; malzeme bilgisini, çevre farkındalığını ve teknik bilgiyi çocukların özgürce üretim yapabileceği analitik bir oyun alanına dönüştürmek.";;;;;5 - 6 Yaş, 6+ Yaş
Feneryolu Oyun Atölyesi;Kadıköy / İstanbul;kurum_galeri/feneryoluoyunatölyesi_1770962055.jpg;+905013683426;iletisim@oyungruplari.com;Uzm.Klinik Psikolog eşliğinde: Duyusal Oyun Atölyesi Sosyal Beceri Atölyesi  Ebeveynli-Ebeveynsiz Atölyeler Yaratıcı Oyun Atölyesi Aile Danışmanlığı;;;;;0 - 2 Yaş, 2 - 3 Yaş, 3 - 4 Yaş, 4 - 5 Yaş, 5 - 6 Yaş, Aile Daışmanı, Psikolojik
Feeling House;Gölbaşı / Ankara;kurum_galeri/feelinghouse_1770962057.jpg;+905019491626;iletisim@oyungruplari.com;Feeling House,  İKİ   PSİKOLOG  tarafından yönetilen, erken çocukluk gelişimini merkeze alan bir  gelişim  ve  oyun  alanıdır. Merkezimizde 6 aydan 5 yaşa kadar olan bebek ve çocuklarla çalışmaktayız. Tüm çalışmalarımızda yaş aralıklarını kısa ve net gruplara ayırarak ilerleriz. 6–12 ay, 12–18 ay, 18–24 ay, 24–36 ay ve 3–5 yaş gibi gruplamalarla  her çocuğun gelişimsel ihtiyaçlarına uygun  ortamlar oluştururuz. Bu yapı sayesinde her çocuk,  kendi gelişim düzeyine uygun  şekilde desteklenir. Feeling House’ta oyun, sadece oyun değildir. Oyunlarımız psikologlar tarafından, çocuğun gelişimsel öncelikleri değerlendirilerek planlanır. Duygusal, sosyal, bilişsel ve dikkat alanlarını destekleyen yapılandırılmış oyunlar üretiriz. Güvenli bağlanma yı destekleyen çalışmalar merkezimizin temel yapı taşlarından biridir. Çocuğun ebeveyniyle ve akranlarıyla kurduğu ilişkiyi güçlendirmeyi önemseriz. Grup çalışmalarında  paylaşma, sıra bekleme, birlikte yapabilme ve duyguları ifade etme  becerilerini destekleriz. Her çocuğun bireysel temposuna saygı duyarız. Gerekli durumlarda  gelişimsel değerlendirmeler  yaparak aileleri bilgilendiririz. Dikkat ve dürtüsellik alanında objektif ölçüm sağlamak amacıyla MOXO Dikkat Testi uygulamaktayız. Feeling House, ebeveynlerin çocuklarını güvenle emanet edebileceği bir alandır. Küçük yaşlarda atılan doğru adımların, uzun vadeli etkiler yarattığına inanıyoruz. Feeling House’ta her çocuk, görülür, anlaşılır ve desteklenir.;;;;;0 - 2 Yaş, 2 - 3 Yaş, 3 - 4 Yaş, 4 - 5 Yaş, 5 - 6 Yaş, 6+ Yaş, Dans, Muzik, Güvenlik, Kamera, Bahce, Psikolojik
Mavi Aile Danışmanlık;Üsküdar / İstanbul;varsayilan.jpg;+905057510207;iletisim@oyungruplari.com;Mavi Aile Danışmanlık olarak İstanbul Üsküdar bölgesinde çocuklar için oyun grubu ve atölye düzenleyen bir oyun evi firması olarak hizmet sunmaktayız. Çocukların gelişimine katkı sağlayan, sosyalleştiren ve eğlenmelerini sağlayan bir çok etkinlik düzenlemekteyiz. Bize katılmak ve birbirinden farklı etkinlikler ile çocuğunuzun oyun evi ortamında sosyalleşmesini ve etkileşime geçmesini isterseniz bize bu sayfadaki iletişim bilgilerimizden ulaşabilirsiniz. Aşağıdaki butona tıklayarak etkinlik ilanlarımızı inceleyebilirsiniz. Üsküdar oyun grubu. İstanbul oyun grupları.;;;;;0 - 2 Yaş, 2 - 3 Yaş, 3 - 4 Yaş, Jimnastik, Yoga, Muzik, Orff, Yaratıcı Drama, Waldorf, Aile Daışmanı
Tiny Thinkers Oyun Atölyesi;Üsküdar / İstanbul;kurum_galeri/tinythinkersoyunatölyesi_1770962060.jpg;+905556988948;iletisim@oyungruplari.com;Acıbadem Caddesi üzerinde yer alan Tiny Thinkers oyun atölyemizde 18 ay - 8 yaş arası çocuklara eğitim vermekteyiz. Hafta içi oyun grupları, İngilizce, Fransızca, resim, müzik derslerimizin yanı sıra doğum günü kutlamalar, hafta sonu partileri gibi etkinlikler de gerçekleştirmekteyiz. Tüm derslerimiz alanında uzman öğretmenlerimiz tarafından yapılmaktadır. 8 ders oyun grubu alımında 4 ders İngilizce oyun grubu hediye ediyoruz. Çocuklarınızı güvenle teslim edip cafemizde dinlenebilirsiniz.;;;;;0 - 2 Yaş, 2 - 3 Yaş, 3 - 4 Yaş, 4 - 5 Yaş, 5 - 6 Yaş, 6+ Yaş, Yoga, Muzik, Orff, Yaratıcı Drama, Kamera, Montesorri, Yabancı Dil, Kodlama
Cuddle&Cuppa;Beylikdüzü / İstanbul;kurum_galeri/cuddlecuppa_1770962062.jpg;+905307609047;iletisim@oyungruplari.com;"🎈 Cuddle & Cuppa’ya Hoş Geldiniz! 🎈 Burada hem çocuklar hem de yetişkinler için rengârenk bir dünyanın kapılarını aralıyoruz! 🌟 Çocuklar özgürce oyun oynarken, yaratıcı atölyelerle hayal güçlerini geliştiriyor; yetişkinler ise keyifli workshoplarda yeni hobiler kazanıyor. 🎨🍪 ✨ Biz neler yapıyoruz? Çocuklara özel atölyeler: Kukla yapımından mini bahçıvanlığa kadar eğlenceli etkinlikler 🌱 Yetişkin workshopları: Dekoratif ürün boyama, mum ve doğal ürün yapımı gibi keyifli uğraşlar 🕯️ Doğum günü ve özel gün organizasyonları: Unutulmaz anılar için tamamen size özel kutlamalar 🎂🎉 Özgür oyun alanı: Çocuklar enerjilerini güvenli bir ortamda doya doya keşfediyor 👧🧒 Bizim için en önemlisi; her yaştan misafirimizi keyifle ağırlamak, birlikte eğlenmek ve unutulmaz anılar biriktirmek. 💜 Siz de ister çocuğunuzla oyun oynamaya, ister arkadaşlarınızla workshopa katılmaya, ister en özel gününüzü kutlamaya gelin… Cuddle & Cuppa’da mutluluk her köşede sizi bekliyor! 🌈☕";;;;;2 - 3 Yaş, 3 - 4 Yaş, 4 - 5 Yaş, 5 - 6 Yaş, 6+ Yaş, Yoga, Muzik, Yaratıcı Drama, Kamera, Yemek, Montesorri, Waldorf, Reggio Emilia, PYP, High Scope, Cooperative, Creative Cirriculum
Bambino Kids Cafe;Ümraniye / İstanbul;kurum_galeri/bambinokidscafe_1770962063.jpg;+905402262466;iletisim@oyungruplari.com;"✨ Bambino Kids Cafe Kimdir? Bambino Kids Cafe , İstanbul Ümraniye’de kurulan; çocukların gelişimini destekleyen, ebeveynlerin ise kendilerine kaliteli zaman ayırabildiği bir  oyun atölyesi ve butik cafe  konseptidir. Amacımız, çocukların ekranlardan uzak,  doğal ve yapılandırılmış oyunlarla  hem sosyal hem bilişsel gelişimlerini desteklemek, aynı zamanda ebeveynlere de nefes alabilecekleri sıcak bir ortam sunmaktır. Çünkü biz biliyoruz ki  mutlu çocuklar, mutlu ebeveynlerle büyür. 🎯 Kime Hitap Ediyoruz? Bambino, özellikle  24–45 yaş arası, bilinçli ve araştırmacı ebeveynlere  hitap eder. Çocuklarının gelişimini önemseyen, kalabalık AVM alanlarından uzak durmak isteyen, daha güvenli, butik ve pedagojik temelli bir ortam arayan ailelerin tercihi. 💡 Farkımız Ne? 👶  Gelişim Odaklı Oyun Grupları:  Çocuk gelişimi uzmanları ve psikologlar eşliğinde, yaş gruplarına özel hazırlanmış programlar. ☕  Ebeveyn Dostu Mekân:  Sıcak, sakin ve samimi kafe alanımızda ebeveynler dinlenirken çocuklar güvenle oynar. 🎨  Zengin Atölye İçerikleri:  Duyusal oyunlardan doğa atölyelerine, sanat etkinliklerinden ebeveyn seminerlerine kadar çok yönlü içerikler. 📍 Nerede Bulunuyoruz? İstanbul/Ümraniye ’deyiz. Özellikle  Esenevler ve çevresinden  kolay ulaşım sağlanabilen konumumuzla, bölgedeki ailelerin güvenle tercih ettiği bir merkeziz. Bambino , sadece bir oyun alanı değil, çocuklar ve ebeveynler için  birlikte büyüme ve gelişme alanıdır . Sizi de bu özel deneyimi yaşamaya davet ediyoruz. 🌿";;;;;0 - 2 Yaş, 2 - 3 Yaş, 3 - 4 Yaş, 4 - 5 Yaş, 5 - 6 Yaş, Yabancı Dil
Jelibom's Çocuk Oyun Evi;Gebze / Kocaeli;kurum_galeri/jelibomsçocukoyunevi_1770962064.jpg;+905534729271;iletisim@oyungruplari.com;Jelibom's Çocuk Oyun Evi olarak Kocaeli Gebze bölgesinde çocuklar için oyun grubu ve atölye düzenleyen bir oyun evi firması olarak hizmet sunmaktayız. Çocukların gelişimine katkı sağlayan, sosyalleştiren ve eğlenmelerini sağlayan bir çok etkinlik düzenlemekteyiz. Bize katılmak ve birbirinden farklı etkinlikler ile çocuğunuzun oyun evi ortamında sosyalleşmesini ve etkileşime geçmesini isterseniz bize bu sayfadaki iletişim bilgilerimizden ulaşabilirsiniz. Aşağıdaki butona tıklayarak etkinlik ilanlarımızı inceleyebilirsiniz. Gebze oyun grubu. Kocaeli oyun grupları.;;;;;0 - 2 Yaş, 2 - 3 Yaş, 3 - 4 Yaş, 4 - 5 Yaş, 5 - 6 Yaş, Çocuk Parkı
Terapi Oyunu Alsancak;Konak / İzmir;kurum_galeri/terapioyunualsancak_1770962066.jpg;+905510319393;iletisim@oyungruplari.com;"Terapi Oyunu: Çocuğunuzun Gelişimi İçin Eğlenceli ve Destekleyici Bir Alan (Alsancak, Bayraklı, Çeşme) Terapi Oyunu, çocukların duygusal, sosyal ve bilişsel gelişimlerini desteklemek için tasarlanmış bir eğitim ve terapi merkezidir. Oyun temelli yaklaşımlarımızla çocuklar; duygularını ifade etmeyi, dikkat ve konsantrasyon becerilerini geliştirmeyi, problem çözme yeteneklerini güçlendirmeyi ve yaratıcılıklarını keşfetmeyi öğrenirler. Merkezimizde sunulan hizmetler arasında; Oyun Terapisi:  Çocuğun kendini güvenle ifade edebileceği, duygusal farkındalık kazanacağı bireysel veya grup seansları, Müzik ve Dans Atölyeleri:  Sanat yoluyla özgüven ve ifade becerilerini destekleyen programlar, Robotik ve Kodlama Etkinlikleri:  Problem çözme, mantıksal düşünme ve yaratıcılığı birleştiren STEM odaklı çalışmalar, Hızlı Okuma ve Dikkat Programları:  Çocukların öğrenme süreçlerini destekleyen dikkat ve odaklanma eğitimleri, Bireysel ve Online Danışmanlıklar:  Çocuğun ihtiyaçlarına özel, ebeveynlerle işbirliği içinde planlanan rehberlik hizmetleri, yer alır. Amacımız, her çocuğun kendi potansiyelini keşfetmesine ve güvenle geliştirmesine olanak tanımaktır. Terapi Oyunu’nda her etkinlik, hem eğlenceli hem de öğretici bir deneyim sunar. Çocuğunuzun gelişimini desteklerken, siz de sürece aktif katılım sağlayabilirsiniz. Terapi Oyunu ile çocuğunuzun yeteneklerini keşfedin, duygusal ve zihinsel gelişimini oyunla destekleyin!";;;;;0 - 2 Yaş, 2 - 3 Yaş, 3 - 4 Yaş, 4 - 5 Yaş, 5 - 6 Yaş, 6+ Yaş, Jimnastik, Pilates, Yoga, Bale, Dans, Koro, Muzik, Orff, Yaratıcı Drama, Güvenlik, Kamera, Reggio Emilia, Cooperative, Yabancı Dil, Kodlama, Satranç, Konferans, Aile Daışmanı, Psikolojik
Mercan Oyun ve Etkinlik Merkezi;Bornova / İzmir;kurum_galeri/mercanoyunveetkinlikmerkezi_1770962067.jpg;+905051348523;iletisim@oyungruplari.com;"Mercan Oyun ve Etkinlik Merkezi; 18-60 ay arası çocukların, uzman eğitmen kadrosu ve gelişim alanlarını destekleyen program ile, akranlarıyla eğlenirken öğrenme ve sosyalleşme fırsatı sunan çocuk gelişim merkezidir. Kurucu müdür çocuk gelişim uzmanı tarafından belirli aralıklarla gelişim değerlendirmesi de yapılmaktadır. Gruplarımız 18-24. 24-36, 36-48, 48+ olacak şekilde ayrılmıştır.";;;;;2 - 3 Yaş, 3 - 4 Yaş, 4 - 5 Yaş, 5 - 6 Yaş, 6+ Yaş, Yaratıcı Drama, Montesorri, Waldorf, Yabancı Dil, Kodlama
